post_id,status,requested_slug,actual_slug,error
10948,OK,"international-regulation","international-regulation",""
10942,OK,"international-litigation","international-litigation",""
10938,OK,"legal-writing","legal-writing",""
10916,OK,"cascais","cascais",""
10886,OK,"divorce-mediation-cons-pros","divorce-mediation-cons-pros",""
10870,OK,"low-value-invest-abroad","low-value-invest-abroad",""
10860,FAIL,"apartment","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>GSC</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
10851,OK,"lisbon-portugal","lisbon-portugal",""
10841,OK,"legal-services-in-portugal","legal-services-in-portugal",""
10834,OK,"portugal-noatary","portugal-noatary",""
10791,OK,"portuguese-people","portuguese-people",""
10779,OK,"guide-buying-property-portugal-israelis","guide-buying-property-portugal-israelis",""
10771,OK,"about-usa","about-usa",""
10759,OK,"about-cyprus","about-cyprus",""
10751,OK,"israel-portugal-relations","israel-portugal-relations",""
10740,OK,"morocco-lawyers","morocco-lawyers",""
10733,OK,"portuguese-nationality-law-jewish-return","portuguese-nationality-law-jewish-return",""
10726,OK,"immigration-to-portugal","immigration-to-portugal",""
10721,OK,"corporate-immigration-portugal","corporate-immigration-portugal",""
10718,OK,"government-of-portugal","government-of-portugal",""
10708,OK,"portugal","portugal",""
10700,OK,"taxation-in-portugal","taxation-in-portugal",""
10696,OK,"list-of-taxes-portugal","list-of-taxes-portugal",""
10692,OK,"housing-portugal","housing-portugal",""
10686,OK,"portugal-economy","portugal-economy",""
10675,OK,"bank-account-in-portugal","bank-account-in-portugal",""
10670,OK,"banking-financ-portugal","banking-financ-portugal",""
10665,OK,"south-korea-lawyers","south-korea-lawyers",""
10657,OK,"portugal-citizenship","portugal-citizenship",""
10649,OK,"canada-lawyers","canada-lawyers",""
10635,OK,"invest-in-portugal-for-citizenship","invest-in-portugal-for-citizenship",""
10626,OK,"qatar-lawyers","qatar-lawyers",""
10611,OK,"cyprus-corporate-tax","cyprus-corporate-tax",""
10602,OK,"ruling-on-conflicting-real-estate-transactions","ruling-on-conflicting-real-estate-transactions",""
10588,OK,"handwritten-property-agreement-cancellation","handwritten-property-agreement-cancellation",""
10577,OK,"notary-public-florida","notary-public-florida",""
10566,OK,"decision55016-06-17a","decision55016-06-17a",""
10562,OK,"cyber-insurance","cyber-insurance",""
10544,OK,"cadastre","cadastre",""
10541,OK,"land-registration","land-registration",""
10528,OK,"land-appreciation-tax","land-appreciation-tax",""
10520,FAIL,"california-lawyers","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>CMS</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
10515,OK,"adoption-usa","adoption-usa",""
10503,OK,"registration-of-real-estate-israel","registration-of-real-estate-israel",""
10490,OK,"decision28272-02-21","decision28272-02-21",""
10483,OK,"austria-lawyers","austria-lawyers",""
10465,OK,"mexico-lawyers","mexico-lawyers",""
10453,OK,"argentina-lawyers","argentina-lawyers",""
10445,OK,"decision20043-03-23","decision20043-03-23",""
10411,FAIL,"buy-real-estate-cyprus","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>בדיקה משפטית</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
10405,OK,"tax-guide-portugal","tax-guide-portugal",""
10386,OK,"greece-financing","greece-financing",""
10377,OK,"investing-in-greece","investing-in-greece",""
10371,OK,"decision53041-12-20a","decision53041-12-20a",""
10349,OK,"family-law-italy","family-law-italy",""
10346,OK,"decision30452-07-20","decision30452-07-20",""
10342,OK,"decision67437-12-18","decision67437-12-18",""
10334,OK,"spain-real-estate","spain-real-estate",""
10325,OK,"portugal-real-estate","portugal-real-estate",""
10310,OK,"decision42377-09-22","decision42377-09-22",""
10296,OK,"grounds-for-divorce-united-states","grounds-for-divorce-united-states",""
10280,OK,"real-estate-malta","real-estate-malta",""
10269,OK,"malta-citizenship-by-investment","malta-citizenship-by-investment",""
10258,OK,"ukraine-lawyers","ukraine-lawyers",""
10239,OK,"avoiding-mistakes-when-buying-property-in-cyprus","avoiding-mistakes-when-buying-property-in-cyprus",""
10230,OK,"decision22431-08-19","decision22431-08-19",""
10227,OK,"21336-03-22","21336-03-22",""
10218,OK,"thailand-civil-code","thailand-civil-code",""
10214,OK,"thailand-real-estate","thailand-real-estate",""
10157,OK,"real-estate-investment-strategies-for-2023","real-estate-investment-strategies-for-2023",""
10175,OK,"common-construction-defects-and-how-to-manage-them","common-construction-defects-and-how-to-manage-them",""
10169,OK,"building-science","building-science",""
10146,OK,"property-investment-calculator","property-investment-calculator",""
10143,OK,"real-estate-development","real-estate-development",""
10123,OK,"international-agreement-greece-dtpa","international-agreement-greece-dtpa",""
10095,OK,"south-african-property-law","south-african-property-law",""
10085,OK,"real-estate-united-kingdom","real-estate-united-kingdom",""
10082,OK,"879928-4","879928-4",""
10065,OK,"is-a-law-for-the-settlement-of-family-disputes-successful","is-a-law-for-the-settlement-of-family-disputes-successful",""
10056,OK,"tort-reform","tort-reform",""
10053,OK,"deep-pocket","deep-pocket",""
10051,OK,"outline-of-tort-law","outline-of-tort-law",""
10036,OK,"thailand-land-purchase-and-ownership-law","thailand-land-purchase-and-ownership-law",""
10028,OK,"poland-lawyers","poland-lawyers",""
10022,OK,"electronic-signature","electronic-signature",""
10018,OK,"digital-signature","digital-signature",""
9995,OK,"brazil-lawyers","brazil-lawyers",""
9996,OK,"bar-exam-worldwide","bar-exam-worldwide",""
9992,OK,"lease","lease",""
9988,OK,"rental-agreement","rental-agreement",""
9981,OK,"balloon-payment-mortgage","balloon-payment-mortgage",""
9976,OK,"belgian-lawyers","belgian-lawyers",""
9960,OK,"notarial-act","notarial-act",""
9956,OK,"civil-law-notary","civil-law-notary",""
9945,OK,"spain-lawyers","spain-lawyers",""
9918,OK,"japan-attorneys","japan-attorneys",""
9895,OK,"notary-public-new-york","notary-public-new-york",""
9890,OK,"international-notaries","international-notaries",""
9885,OK,"real-estate-usa","real-estate-usa",""
9866,OK,"real-estate-romania","real-estate-romania",""
9850,OK,"saudi-arabia-lawyers","saudi-arabia-lawyers",""
9835,OK,"georgia-lawyers","georgia-lawyers",""
9829,OK,"malta-lawyers","malta-lawyers",""
9774,OK,"miami-florida-lawyers","miami-florida-lawyers",""
9752,OK,"romanian-passport","romanian-passport",""
8972,OK,"german-passport","german-passport",""
9724,OK,"uk-lawyer","uk-lawyer",""
9721,OK,"39514-09-19","39514-09-19",""
9717,OK,"protest-arrest-2023","protest-arrest-2023",""
9684,OK,"real-estate-italy","real-estate-italy",""
9681,OK,"panama-lawyers","panama-lawyers",""
9677,OK,"44688-10-22","44688-10-22",""
9653,FAIL,"miranda-warning","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>בדיקה משפטית</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
9648,OK,"what-is-medical-malpractice-definition-examples","what-is-medical-malpractice-definition-examples",""
9644,OK,"medical-malpractice-in-the-united-states","medical-malpractice-in-the-united-states",""
9633,OK,"child-pornography-laws-in-the-united-states","child-pornography-laws-in-the-united-states",""
9630,OK,"criminal-negligence","criminal-negligence-2",""
9625,OK,"murder-in-united-states-law","murder-in-united-states-law",""
9617,OK,"taiwan-lawyers","taiwan-lawyers",""
9609,FAIL,"hungary-lawyer","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>בדיקה משפטית</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
9583,OK,"human-trafficking","human-trafficking",""
9575,OK,"sex-trafficking","sex-trafficking",""
9571,OK,"cybersex-trafficking","cybersex-trafficking",""
9559,OK,"italy-lawyers","italy-lawyers",""
9554,FAIL,"cyber-laws","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>בעל האתר, בדיקה משפטית</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
9526,OK,"romania-lawyers","romania-lawyers",""
9521,OK,"united-arab-emirates-lawyers","united-arab-emirates-lawyers",""
9517,OK,"history-of-criminal-justice","history-of-criminal-justice",""
9505,OK,"germany-lawyers","germany-lawyers",""
9501,OK,"crime","crime",""
9488,OK,"portugal-golden-visa","portugal-golden-visa",""
9481,OK,"golden-visa","golden-visa",""
9427,OK,"criminal-defense-attorney-roles-and-responsibilities","criminal-defense-attorney-roles-and-responsibilities",""
9422,OK,"1027470-24","1027470-24",""
9417,OK,"ethiopia-lawyer","ethiopia-lawyer",""
9412,OK,"1338971-12","1338971-12",""
9359,OK,"admission-to-practice-law","admission-to-practice-law",""
9351,OK,"american-bar-association","american-bar-association",""
9339,OK,"personal-injury-law","personal-injury-law",""
9321,OK,"artificial-general-intelligence","artificial-general-intelligence",""
9310,OK,"construction-law","construction-law",""
9293,OK,"usa-lawyers","usa-lawyers",""
9291,OK,"69430-06-20","69430-06-20",""
9288,OK,"18744-11-18","18744-11-18",""
9286,OK,"62758-11-22","62758-11-22",""
9260,OK,"21213-04-18","21213-04-18",""
9258,OK,"47565-12-18","47565-12-18",""
9246,OK,"11314-01-23","11314-01-23",""
9102,OK,"8935-09-22","8935-09-22",""
9090,OK,"real-estate-investing","real-estate-investing",""
9050,OK,"france-lawyers","france-lawyers",""
9044,OK,"comparative-criminal-justice","comparative-criminal-justice",""
9040,OK,"53556-05-18","53556-05-18",""
9032,OK,"hong-kong-lawyer","hong-kong-lawyer",""
9020,OK,"real-estate-appraiser","real-estate-appraiser",""
9012,OK,"real-estate-agent","real-estate-agent",""
9004,OK,"15443-09-20","15443-09-20",""
9002,OK,"3859-11-20","3859-11-20",""
8997,OK,"14434-07-22","14434-07-22",""
8932,FAIL,"buying-property-in-greece","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>בדיקה משפטית</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
8930,OK,"1355956-3","1355956-3",""
8926,OK,"33316-07-19","33316-07-19",""
8924,OK,"47795-09-20","47795-09-20",""
8863,OK,"greece-lawyers","greece-lawyers",""
8821,OK,"immigration-lawyer","immigration-lawyer",""
8795,OK,"shoplifting","shoplifting",""
8793,OK,"list-of-types-of-fraud","list-of-types-of-fraud",""
8777,OK,"cyprus-lawyer","cyprus-lawyer",""
8774,OK,"74657-12-20","74657-12-20",""
8772,OK,"decision6199-03-18","decision6199-03-18",""
8762,OK,"1394399-1","1394399-1",""
8753,OK,"portugal-lawyers","portugal-lawyers",""
8746,OK,"9230-03-20","9230-03-20",""
8742,OK,"52923-11-20","52923-11-20",""
8706,OK,"legal-courses-for-lawyers","legal-courses-for-lawyers",""
8669,OK,"insolvency","insolvency",""
8665,OK,"1381090-1","1381090-1",""
8652,OK,"75054-07-19","75054-07-19",""
8635,OK,"divorce-resource-balancing-case21019-01-21","divorce-resource-balancing-case21019-01-21",""
8633,OK,"parental-alienation-damages16820-11-19","parental-alienation-damages16820-11-19",""
8631,OK,"child-support-divorced-parents61641-09-19","child-support-divorced-parents61641-09-19",""
8629,OK,"most-famous-murder-acquittal-cases","most-famous-murder-acquittal-cases",""
8613,OK,"8773-11-22","8773-11-22",""
8604,OK,"18834-05-20","18834-05-20",""
8601,OK,"5585-04-22estate-trust-legal-judgment","5585-04-22estate-trust-legal-judgment",""
8596,OK,"54044-04-22cancel-criminal-proceedings","54044-04-22cancel-criminal-proceedings",""
8573,OK,"35557-01-22","35557-01-22",""
8571,OK,"2542-10-22","2542-10-22",""
8299,OK,"accountant","accountant",""
8089,OK,"consent","consent",""
8083,OK,"abuse-of-process","abuse-of-process",""
